t.name,t.uri
early January,http://eol.org/schema/terms/earlyJanuary
early June,http://eol.org/schema/terms/earlyJune
early March,http://eol.org/schema/terms/earlyMarch
early May,http://eol.org/schema/terms/earlyMay
early November,http://eol.org/schema/terms/earlyNovember
early October,http://eol.org/schema/terms/earlyOctober
early September,http://eol.org/schema/terms/earlySeptember
"east Amatuli Island, Alaska",http://www.geonames.org/5861227
east Asian Islands,http://eol.org/schema/terms/EastAsianIslands
east fork Andreafsky River,http://www.wikidata.org/entity/Q3046499
east Siberian Sea,http://www.wikidata.org/entity/Q163434
east-central Europe,http://eol.org/schema/terms/EastcentralEurope
eastern Bering Sea,http://eol.org/schema/terms/EasternBeringSea
eastern boundary current,http://purl.obolibrary.org/obo/ENVO_01000104
eastern Hemisphere,http://www.wikidata.org/entity/Q186198
eastern Siberia,http://www.wikidata.org/entity/Q1191996
eats nectar,http://eol.org/schema/terms/eatsNectar
eats seeds,http://eol.org/schema/terms/eatsSeeds
eber Lake,http://www.geonames.org/316014
"egegik River, Alaska",http://www.wikidata.org/entity/Q3049132
eggenfelden,http://www.geonames.org/2933115
eglington Island,http://eol.org/schema/terms/EglingtonIsland
"eldey Island, Iceland",http://www.wikidata.org/entity/Q324541
ellesmere Island,http://www.wikidata.org/entity/Q146841
"ellidaar River, Iceland",http://www.geonames.org/3417581
endorheic lake,http://purl.obolibrary.org/obo/ENVO_00000197
enewetak,http://www.geonames.org/2080552
engano Island,http://www.geonames.org/1644921
entebbe,http://www.geonames.org/233508
epeiric sea biome,http://purl.obolibrary.org/obo/ENVO_01000045
ephemeral island,http://purl.obolibrary.org/obo/ENVO_00000368
ephemeral spring,http://purl.obolibrary.org/obo/ENVO_00000204
epilimnion,http://purl.obolibrary.org/obo/ENVO_00002131
epiphyte,http://eol.org/schema/terms/epiphyte
equatorial upwelling front,http://purl.obolibrary.org/obo/ENVO_01000092
eregli,http://eol.org/schema/terms/Eregli
sonora,http://www.geonames.org/3982846
estuarine front,http://purl.obolibrary.org/obo/ENVO_01000084
ethanol enriched soil,http://purl.obolibrary.org/obo/ENVO_00003086
"Étretat""",http://www.geonames.org/3019355
eucalyptus forest soil,http://purl.obolibrary.org/obo/ENVO_00005787
european Russia,http://www.wikidata.org/entity/Q875134
eV,http://purl.obolibrary.org/obo/UO_0000266
everglades (marl prairie),http://eol.org/schema/terms/Southeast_everglades_--marl_prairie--
everglades sawgrass,http://eol.org/schema/terms/Southeast_everglades_sawgrass
excreta,http://purl.obolibrary.org/obo/ENVO_02000022
extreme high temperature habitat,http://purl.obolibrary.org/obo/ENVO_00002027
"eyjafjordur, Iceland",http://www.geonames.org/2632003
facultative,http://eol.org/schema/terms/facultative
far East,http://eol.org/schema/terms/FarEast
farmyard manure,http://purl.obolibrary.org/obo/ENVO_00003884
faroe plateau,http://www.geonames.org/3163771
fault cave,http://purl.obolibrary.org/obo/ENVO_00000071
fault escarpment,http://purl.obolibrary.org/obo/ENVO_00000281
faunivore,http://eol.org/schema/terms/faunivore
feces,http://purl.obolibrary.org/obo/ENVO_00002003
felsic lava,http://purl.obolibrary.org/obo/ENVO_01000232
fennoscandia,http://www.wikidata.org/entity/Q604496
fergusson Island,http://www.geonames.org/2097439
bioko,http://www.geonames.org/2309792
ferry County,http://www.geonames.org/5794294
fetus,http://www.ebi.ac.uk/efo/EFO_0001323
farta Eyrab,http://www.geonames.org/60013
fishing Branch River,http://eol.org/schema/terms/FishingBranchRiver
fishpond,http://purl.obolibrary.org/obo/ENVO_00000056
fjord lake,http://purl.obolibrary.org/obo/ENVO_00000201
"flatey Island, Iceland",http://www.wikidata.org/entity/Q1427332
flood fringe,http://purl.obolibrary.org/obo/ENVO_00000257
flooded grassland and savanna,http://purl.obolibrary.org/obo/ENVO_00000885
flores,http://www.geonames.org/9062332
florida Coastal Waters,http://eol.org/schema/terms/floridaCoastWater
florida Gulf Coastal Waters,http://eol.org/schema/terms/floridaGulf
fluvial dambo,http://purl.obolibrary.org/obo/ENVO_00000238
foam,http://purl.obolibrary.org/obo/ENVO_00005738
folivore,http://www.owl-ontologies.com/unnamed.owl#Folivore
forb/herb,http://eol.org/schema/terms/forbHerb
formosa,http://www.geonames.org/3433896
fort Resolution,http://www.geonames.org/5955925
"fox Island, Alaska",http://www.wikidata.org/entity/Q195182
foxe Basin,http://www.wikidata.org/entity/Q845217
fram Strait,http://www.geonames.org/1506773
franklin County,http://www.geonames.org/5794976
franz Josef Land,http://www.wikidata.org/entity/Q185018
free-living adult,http://eol.org/schema/terms/freelivingAdult
fresh animal manure,http://purl.obolibrary.org/obo/ENVO_00003032
fresh water aquarium,http://purl.obolibrary.org/obo/ENVO_00002198
freshwater algal bloom,http://purl.obolibrary.org/obo/ENVO_2000005
freshwater lake,http://eol.org/schema/terms/freshwaterLake
freshwater lake,http://purl.obolibrary.org/obo/ENVO_00000021
freshwater pond,http://eol.org/schema/terms/freshwaterPond
stream,http://eol.org/schema/terms/freshwaterStream
freshwater/brackish,http://eol.org/schema/terms/freshwaterBrackish
